Description,Price,Sqr Ft,Longitude,Latitude,Beds,Bath,Year Built,Address,City,State,Zipcode
" The table is set in this large Plan 4 with its top two levels of interactive living spaces for educating and engaging. Four bedrooms suit home-based entrepreneurs, stepchildren and a widowed parent who can come together in an expansive gathering room. An elongated deck invites open-air grilling and entertaining. A side-by-side garage adds valuable storage. ","$899,990+","2,506 sqft",-121.78657,37.24272,4,3,," Plan 4 in The Towns at UrbanOak by Pulte Homes San Jose, CA 95119 ",San Jose,CA,95119
" READY TO MOVE QUICK! This corner home shows pride of ownership throughout with tasteful designer inspired paint colors, remodeled baths, and in-unit laundry. You will love the large kitchen and living room with tile flooring and sliding glass doors leading to the oversized fenced patio area! The large master bedroom features a large bay window with private master bath. With plenty of 24hr guest parking and 2 assigned parking spots. Stop looking-this is the home of your dreams at a price you can afford. ","$369,000 ","1,183 sqft",-117.043594,32.682053,3,2,1980," 6809 Panamint Row #4 San Diego, CA 92139 ",San Diego,CA,92139
" COMING SOON!!AMAZING BALBOA STYLE HOME BY INFINITY HOMES IN THE HIGHLY SOUGHT AFTER STAPLETON NEIGHBORHOOD! This immaculate home is 1 block from Central Park. Main level boasts open-concept kitchen with 6 burner gas stove, stainless hood, double oven, large island, stainless refrigerator and dishwasher. The main level also has a study w/french glass doors, gas log fireplace, and surround sound. Upper level includes 3 bedrooms with a large loft. Finished basement includes wet bar,surround sound. ","$830,000 ","3,593 sqft",-104.88007,39.76414,4,4,2010," 3433 Beeler St Denver, CO 80238 ",Denver,CO,80238
 The seller does not have access to the property. Do not disturb occupants. Interior inspections are not available. Please do not trespass. ,"$127,020 ","1,235 sqft",-87.88883,42.97216,3,1,1954," 1620 E Norwich Ave Saint Francis, WI 53235 ",Saint Francis,WI,53235
" This unique new construction home offers four bedrooms with full bathrooms for each room. Modern farmhouse feel with many designer details and accents including open shelving, a barn door and glass chandeliers. Open concept living area with stunning fireplace and stainless steel appliances and kitchen island. Master bath has double vanity, walk-in shower and freestanding tub. Oversized Walk in closets with custom built in drawers. Thoughtfully designated mudroom bench with storage by the entrance and sink in laundry room. Spacious bedroom and full bathroom located upstairs. Beautiful study with interior design paint and many more features throughout this home. Located in Meadows at MacArthur Park. Deer Creek school district Schedule your private tour today ","$340,000 ","2,430 sqft",-97.51906,35.47114,4,4,2019," 17813 Macarthur Park Rd Oklahoma City, OK 73102 ",Oklahoma City,OK,73102
 Great Investment opportunity! 2 Bedroom/1 Bath with add on room in back of house. Central A/C was installed to certain areas. Close to schools! ,"$52,000 ",802 sqft,-97.40906,27.775341,2,1,1938," 1446 17th St Corpus Christi, TX 78404 ",Corpus Christi,TX,78404
" This coop is located at 11817 Union Tpke #3C, Forest Hills, NY. 11817 Union Tpke #3C is in the Kew Gardens neighborhood in Forest Hills, NY and in ZIP code 11375. It is currently for sale and has been listed on Trulia for 224 days. This property is listed for $219,000. This property has 1 bedroom, 1 bathroom and approximately 213,654 sqft of floor space. This property has a lot size of 1.95 acres and was built in 1973. ","$219,000 ","213,654 sqft",-73.83415,40.71259,1,1,1973," 11817 Union Tpke #3C Forest Hills, NY 11375 ",Forest Hills,NY,11375
" Rare Opportunity awaits. This impeccable 2 story home has 3 full baths, 4 large bedrooms, eat in kitchen, separate dining room, ample storage, gleaming hardwood floors,solid oak 6 panel doors/trim,related living w/in unit laundry, 2 living rooms,1 large rec room with working attached gas grill, tilt in windows for easy cleaning,gorgeous views of the park like 275 ft yard, 2 car garage that can be entered from private alley or from ample concrete driveway, hollywood glamour patio for summer entertaining. chimney has new liner and tuckpointing. Roof is approx . 8 years old.Zoned heating and Air. Close proximity to desirable circle park area , schools and New recreation center. Make your appmt today. Add your touches and make this your forever home.Sellers are motivated. ","$299,900 ","3,201 sqft",-87.703995,41.717567,4,3,1959," 3248 W 97th St Evergreen Pk, IL 60805 ",Evergreen Pk,IL,60805
" The unit will be shown after the new year and the listing will be updated.Townhouse style 3 bedroom condominium built in 1985 with 77 units covering half a block. The bedrooms face a quiet garden. The unit has a washer/dryer and small terrace with two walk in closets and full baths. The complex has a community room, bike storage and storage lockers. ","$1,300,000 ","1,300 sqft",-73.961784,40.797756,3,2,1985," 40 W 105th St #3A New York, NY 10025 ",New York,NY,10025
" Offering 3% to Buyer or Buyer Agent. A ""cut above"" other Royal Highlands homes, and it's Move in Ready. Don't let this entertainer's dream estate pass you by. Bring ID to get in the guard gate for open houses. There are many homes available in Southern Highlands but few with parking for 12 cars right at your front door. A tropical rock waterfall provides a Zen like experience as it flows into the clear waters of the pool and spa. Spray misters on the patio and water jets on the pool complete the ambiance. Enjoy cooking at your outdoor kitchen on a stainless-steel natural gas BBQ and 4 burner stove. Drinks stay cool in the compact frig. Share late night stories around your natural gas fire pit. Accent lighting details every feature of this outdoor oasis. And now you are ready to sit back and relax in front of your 133"" theater screen with surround sound and 10 leather recliners on 2 tiers. Over $350,000 in upgrades and the work's all done. No fuss no muss. Beautiful dark wood kitchen cabinetry is timeless. The 48 inch wide frig, dishwasher and trash compactor blend perfectly with matching cabinet facings. High quality shutters provide total privacy. There is a secluded master suite with 2 walk-in closets, double vanity, spa tub and large body spa shower with 5 shower heads. Sky views are awesome on the private terrace overlooking the pool. The downstairs bedroom/office with an adjacent bathroom makes it convenient for company. There is a builder finished room with a private entrance complete with heat and air in the 3rd garage area making the square footage even larger than stated. 7 possible bedrooms. Additional upgrades of central vacuum, intercom, water softener and reverse osmosis system, hardscape and landscape are amazing! All this in a 24/7 guard gated community. Make your best deal for this For Sale by Owner estate. Shown by appointment and stay tuned for scheduled open houses. Contact seasoned FSBO Diane at 661.917.8212 or Robert at 702.491.7565. Please call or text for information. If you request information on Zillow, you will be referred to a realtor. Save your hard earned $$ and call direct. Listing agents not welcome. ","$950,000 ","5,466 sqft",-115.19873,35.989677,5,5,2007," 11005 Inverlochy Ct Las Vegas, NV 89141 ",Las Vegas,NV,89141
